"id","condition","confidence","feedback","score_meaning","label_expectation","familiar_trust_levels","familiar_nutriscore","grade_basis","label_present","understood_label","visual_design","decision_support","info_usefulness","image_trust","evaluate_trustworthiness","more_labels","attention_check"
1,"color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How transparently the article shows its sources, author, and any edits","TRUE","5","7","6","7","7","5","6","3"
2,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","Yes","The accuracy of the information in the article","TRUE","3","4","3","4","4","4","3","3"
3,"c2pa","Somewhat Confident","none","How trustworthy the article is","Any changes that have been made to the original image","No","No","","FALSE","5","3","2","2","3","3","3","3"
4,"nolabel","Neutral","",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
5,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How transparently the article shows its sources, author, and any edits","TRUE","5","6","7","5","7","7","7","3"
6,"c2pa","Somewhat Confident","","Not sure","The publisher","No","No","","TRUE","1","1","1","1","1","1","4","3"
7,"nolabel","Somewhat Unconfident","",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
8,"color","Somewhat Confident","Very interesting study.","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","When the image was taken","No","Yes","The accuracy of the information in the article","TRUE","6","6","6","6","6","6","6","3"
9,"no_color","Neutral","","Not sure","Whether AI was used in the image creation process;How trustworthy the image is","Yes","Yes","Not sure","TRUE","1","2","2","2","4","3","7","3"
10,"c2pa","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;The copyright holder or owner of the image","Yes","Yes","","FALSE","2","4","3","5","3","3","5","3"
11,"nolabel","Somewhat Confident","",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
12,"color","Neutral","","How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;How trustworthy the image is;The publisher","No","No","The accuracy of the information in the article","TRUE","2","2","2","1","1","1","4","3"
13,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","No","No","The accuracy of the information in the article","FALSE","5","4","5","5","5","5","6","3"
14,"c2pa","Somewhat Confident","This was interesting to go through and consider! Thanks very much and I hope my submission is helpful to your research ","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","","FALSE","5","5","6","6","6","6","7","3"
15,"nolabel","Neutral","No",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
16,"no_color","Somewhat Unconfident","na","How much of the picture is real/fake","Whether AI was used in the image creation process","No","No","How transparently the article shows its sources, author, and any edits","FALSE","3","4","2","2","4","2","4","3"
17,"c2pa","Neutral","NA","How much verified information about the creation and edits of the picture is available","The copyright holder or owner of the image;The publisher","Not sure","No","","FALSE","4","3","4","5","4","5","5","3"
18,"nolabel","Neutral","",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
19,"color","Somewhat Unconfident","","How trustworthy the image is","Any changes that have been made to the original image;How trustworthy the image is","No","Yes","How clearly information about the image is provided","FALSE","2","3","2","2","2","2","2","3"
20,"no_color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image","No","Yes","How clearly information about the image is provided","TRUE","5","5","7","6","5","6","7","3"
21,"c2pa","Very Unconfident","I don't trust most news articles these days. I will always try to look for different sources of the same information to determine what might be the truth, but it's getting harder and harder to know what to believe. ","Not sure","Not sure","Not sure","Yes","","FALSE","2","3","1","2","1","1","4","3"
22,"nolabel","Neutral","",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
23,"color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Not sure","Yes","How clearly information about the image is provided","TRUE","6","5","1","5","1","3","4","3"
24,"no_color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;How trustworthy the image is","No","Yes","How transparently the article shows its sources, author, and any edits","FALSE","3","6","7","7","7","7","7","3"
25,"c2pa","Neutral","none","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Where the image was taken;How trustworthy the image is;The publisher","No","Yes","","FALSE","6","5","5","6","5","6","5","3"
26,"nolabel","Very Confident","None",NA,NA,"No","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
27,"color","Somewhat Confident","","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","No","Yes","How clearly information about the image is provided","TRUE","6","7","6","7","7","7","7","3"
28,"no_color","Neutral","","How trustworthy the article is","Not sure","No","Not sure","The accuracy of the information in the article","FALSE","1","3","2","2","2","1","6","3"
29,"c2pa","Neutral","","Not sure","The publisher","No","Yes","","TRUE","2","5","1","4","2","3","5","3"
30,"nolabel","Somewhat Unconfident","no",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
31,"color","Neutral","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The publisher","No","Yes","How clearly information about the image is provided","TRUE","5","5","2","3","2","4","4","3"
32,"c2pa","Somewhat Confident","","Not sure","Whether AI was used in the image creation process;Any changes that have been made to the original image","No","Yes","","TRUE","2","4","4","4","5","5","5","3"
33,"nolabel","Somewhat Confident","The grammar was poor in the articles (no paragraphs) making them difficult to read comfortably. But overall, it was all good. Best wishes.",NA,NA,"Yes","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
34,"color","Somewhat Confident","no","How trustworthy the image is","How trustworthy the image is","No","Yes","How clearly information about the image is provided","TRUE","5","5","4","6","4","4","6","3"
35,"no_color","Somewhat Confident","","How much of the picture is real/fake","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image;The publisher","No","No","How clearly information about the image is provided","FALSE","4","4","6","6","6","6","6","3"
36,"c2pa","Neutral","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Any changes that have been made to the original image;The publisher","Yes","Not sure","","TRUE","5","6","5","5","6","6","6","3"
37,"nolabel","Somewhat Confident","I thought the study was interesting and made me think. The article choices felt realistic, and I liked how they moved from news reports to deeper analysis. One suggestion: it would be nice to include more international or neutral articles, especially for people outside the U.S.",NA,NA,"Yes","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
38,"no_color","Somewhat Confident","nil","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Where the image was taken;When the image was taken;Any changes that have been made to the original image","Yes","Yes","The accuracy of the information in the article","TRUE","5","5","4","5","5","5","4","3"
39,"c2pa","Somewhat Confident","There was a LOT of reading involved","How trustworthy the article is","How trustworthy the image is","No","No","","FALSE","5","5","5","5","4","5","6","3"
40,"nolabel","Neutral","Thanks ",NA,NA,"Yes","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
41,"color","Somewhat Confident","Articles are way too long and could do with slightly shorter versions","How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","Not sure","Yes","How clearly information about the image is provided","FALSE","5","4","5","6","6","5","6","3"
42,"no_color","Somewhat Confident","Being unsure of the questions to follow, I tried to digest the information from the articles which I found slightly overwhelming. I was aware that the images had a rating badge, however, I selected topics based on the subjects, and rather ignored the image rating as I didn't think they added anything to the credibility of the articles. ","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Any changes that have been made to the original image;How trustworthy the image is","Not sure","No","How clearly information about the image is provided","FALSE","5","4","2","4","2","6","5","3"
43,"c2pa","Somewhat Confident","no, everything was clear and well presented.","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","No","","FALSE","5","6","5","6","5","6","7","3"
44,"nolabel","Very Confident","n/a",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
45,"color","Somewhat Unconfident","","How trustworthy the image is","Any changes that have been made to the original image;The copyright holder or owner of the image","No","Yes","Not sure","FALSE","2","3","1","2","3","3","4","3"
46,"no_color","Somewhat Confident","None","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","No","How clearly information about the image is provided","FALSE","5","7","5","5","6","7","6","3"
47,"c2pa","Neutral","","How much verified information about the creation and edits of the picture is available","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","Yes","","TRUE","2","3","2","3","3","3","3","3"
48,"nolabel","Very Confident","",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
49,"color","Somewhat Confident","","How trustworthy the article is","How trustworthy the image is","Not sure","Not sure","The overall trustworthiness of the news provider","FALSE","5","6","4","5","5","5","5","3"
50,"no_color","Somewhat Unconfident","just to say thanks and good luck with the study.","Not sure","When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","No","No","The overall trustworthiness of the news provider","TRUE","2","5","4","4","4","3","4","3"
51,"c2pa","Somewhat Confident","","Not sure","Where the image was taken;When the image was taken","Not sure","Not sure","","TRUE","2","5","2","4","3","2","5","3"
52,"nolabel","Neutral","",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
53,"color","Somewhat Confident","no","How trustworthy the article is","Whether AI was used in the image creation process;How trustworthy the image is;The publisher","No","Yes","The accuracy of the information in the article","FALSE","5","6","6","6","5","5","5","3"
54,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","The accuracy of the information in the article","TRUE","6","6","7","5","3","6","7","3"
55,"c2pa","Somewhat Confident","","Not sure","Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","No","No","","TRUE","1","4","2","2","1","1","5","3"
56,"nolabel","Somewhat Confident","no need for improvements, all was straightforward",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
57,"color","Somewhat Confident","thanks",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
58,"no_color","Somewhat Confident","","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How clearly information about the image is provided","TRUE","5","5","4","5","7","7","7","3"
59,"c2pa","Somewhat Confident","All of it was US-centric, so none of the articles were of any interest to me","How much verified information about the creation and edits of the picture is available","The publisher","No","No","","FALSE","2","1","1","3","3","2","2","3"
60,"nolabel","Neutral","",NA,NA,"Not sure","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
61,"color","Neutral","no","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Not sure","Yes","How transparently the article shows its sources, author, and any edits","FALSE","7","7","7","7","7","7","7","3"
62,"no_color","Very Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image","Yes","Yes","The accuracy of the information in the article","FALSE","7","1","7","1","1","1","1","3"
63,"c2pa","Neutral","","How trustworthy the article is;Not sure","The copyright holder or owner of the image","No","Yes","","FALSE","2","5","1","3","2","3","6","3"
64,"nolabel","Neutral","",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
65,"color","Neutral","","How trustworthy the image is","Not sure","No","Yes","Other: If the image is real and directly related to the article","FALSE","4","4","2","2","2","2","2","3"
66,"no_color","Very Confident","","How much verified information about the creation and edits of the picture is available;How much readers like the article","The copyright holder or owner of the image;The publisher","No","Yes","The accuracy of the information in the article","TRUE","1","6","1","1","2","2","4","3"
67,"c2pa","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process","No","Yes","","TRUE","1","5","5","4","4","4","4","3"
68,"nolabel","Somewhat Confident","",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
69,"color","Somewhat Confident","It's an interesting study, I think the trust labels are a good idea.","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","How clearly information about the image is provided","TRUE","4","6","6","5","6","5","6","3"
70,"no_color","Somewhat Confident","Interesting study, definitely explore worthy due to the age of AI we are living in. ","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","The accuracy of the information in the article","FALSE","5","5","4","5","4","5","6","3"
71,"c2pa","Very Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Where the image was taken;When the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","","FALSE","4","6","5","6","6","6","5","3"
72,"nolabel","Neutral","",NA,NA,"No","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
73,"color","Somewhat Confident","","How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","No","The overall trustworthiness of the news provider","TRUE","6","5","5","4","6","5","7","3"
74,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image","No","Yes","How clearly information about the image is provided","TRUE","5","4","4","5","5","5","6","3"
75,"c2pa","Somewhat Confident","","How trustworthy the image is;How trustworthy the article is;How much readers like the article","Where the image was taken;How trustworthy the image is","No","Not sure","","TRUE","4","5","5","6","5","5","6","3"
76,"nolabel","Somewhat Confident","I don't think there is any room for improvement. Study is insightful, thank you.",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
77,"color","Somewhat Confident","I actually only noticed the image rating on the first article, after that I was focused on the headlines and the articles themselves and my eyes just glossed over/missed the ratings. Also it's hard to say how useful they are without knowing the criteria that's gone into determining the rating.","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How clearly information about the image is provided","TRUE","3","4","1","4","4","2","7","3"
78,"no_color","Neutral","","How much of the picture is real/fake;How trustworthy the image is","How trustworthy the image is","No","Yes","Not sure","FALSE","5","4","4","5","5","5","5","3"
79,"c2pa","Very Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is;How much readers like the article","Where the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","No","","TRUE","7","7","6","6","6","6","7","3"
80,"nolabel","Somewhat Unconfident","",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
81,"color","Somewhat Confident","Nothing further.","How much verified information about the creation and edits of the picture is available","Where the image was taken;When the image was taken","No","Yes","How clearly information about the image is provided","TRUE","5","6","7","6","6","6","7","3"
82,"no_color","Somewhat Confident","","How trustworthy the image is","Where the image was taken;When the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","No","How clearly information about the image is provided","TRUE","5","5","3","5","6","6","6","3"
83,"c2pa","Neutral","","How much verified information about the creation and edits of the picture is available","Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image;The publisher","No","No","","TRUE","2","4","1","2","2","1","4","3"
84,"nolabel","Somewhat Unconfident","No",NA,NA,"No","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
85,"color","Somewhat Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;Any changes that have been made to the original image;How trustworthy the image is","No","Not sure","How clearly information about the image is provided","FALSE","5","6","3","6","6","3","7","3"
86,"no_color","Very Confident","Enjoyable study. Thank you, it was a pleasure.","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","No","Yes","How clearly information about the image is provided","TRUE","6","5","6","5","6","5","7","3"
87,"nolabel","Very Unconfident","NA",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
88,"color","Neutral","","How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","No","Yes","How clearly information about the image is provided","FALSE","4","5","4","5","4","4","5","3"
89,"nolabel","Somewhat Unconfident","",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
90,"color","Somewhat Unconfident","","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","No","Not sure","The accuracy of the information in the article","FALSE","5","4","4","5","5","5","6","3"
91,"no_color","Neutral","","How trustworthy the image is","Not sure","No","No","How clearly information about the image is provided","FALSE","2","2","1","2","3","2","2","3"
92,"c2pa","Neutral","Put some paragraph breaks in the news articles if you expect people to read them in full!","Not sure","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;Not sure","No","No","","FALSE","1","4","1","2","4","2","4","3"
93,"nolabel","Somewhat Confident","",NA,NA,"Not sure","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
94,"color","Somewhat Confident","","How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","How clearly information about the image is provided","TRUE","6","6","7","6","7","7","7","3"
95,"no_color","Neutral","","How much verified information about the creation and edits of the picture is available","Whether AI was used in the image creation process;How trustworthy the image is","No","No","The accuracy of the information in the article","TRUE","6","6","7","6","5","6","6","3"
96,"c2pa","Neutral","","Not sure","Not sure","No","Yes","","FALSE","3","4","4","4","4","4","4","3"
97,"color","Somewhat Confident","I do not have any comments. All the best in your studies.","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Where the image was taken;When the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","No","The accuracy of the information in the article","TRUE","5","6","6","7","7","6","6","3"
98,"no_color","Somewhat Confident","no","How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;When the image was taken","No","No","The overall trustworthiness of the news provider","FALSE","6","7","7","7","7","6","6","3"
99,"c2pa","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Any changes that have been made to the original image;How trustworthy the image is;The publisher","Yes","No","","FALSE","4","4","5","4","4","5","4","3"
100,"nolabel","Very Confident","No",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
101,"color","Somewhat Confident","No","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","No","How transparently the article shows its sources, author, and any edits","TRUE","6","5","5","6","5","5","6","3"
